cd_mun;nm_mun;sede_utp;rm_origem;utp_origem;hierarquia;id_cadeia;status_cadeia;cd_destino_principal;nm_destino_principal;rm_destino_principal;utp_destino_principal;tempo_viagem_h;sugestao_analise
1100064;Colorado do Oeste;False;N/A;759;primaria;NUCLEO_0;Mista;1100304;Vilhena;N/A;759;1.277139598;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1100304;Vilhena;True;N/A;759;primaria;NUCLEO_0;Mista;1100064;Colorado do Oeste;N/A;759;1.198569799;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1100106;Guajará-Mirim;True;N/A;143;primaria;NUCLEO_1;Interna;1100338;Nova Mamoré;N/A;143;0.616667;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
1100338;Nova Mamoré;False;N/A;143;primaria;NUCLEO_1;Interna;1100106;Guajará-Mirim;N/A;143;0.616667;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
1100114;Jaru;False;N/A;182;primaria;NUCLEO_2;Mista;1101005;Governador Jorge Teixeira;N/A;395;0.637511167;Conflito Estrutural: O núcleo da cadeia está dividido entre UTPs distintas.
1101005;Governador Jorge Teixeira;False;N/A;395;primaria;NUCLEO_2;Mista;1100114;Jaru;N/A;182;0.637511167;Conflito Estrutural: O núcleo da cadeia está dividido entre UTPs distintas.
1100122;Ji-Paraná;True;N/A;182;primaria;NUCLEO_3;Mista;1100254;Presidente Médici;N/A;182;0.637756948;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1100254;Presidente Médici;False;N/A;182;primaria;NUCLEO_3;Mista;1100122;Ji-Paraná;N/A;182;0.545513895;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1100288;Rolim de Moura;True;N/A;670;primaria;NUCLEO_4;Mista;1100296;Santa Luzia D'Oeste;N/A;670;0.337446204;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1100296;Santa Luzia D'Oeste;False;N/A;670;primaria;NUCLEO_4;Mista;1100288;Rolim de Moura;N/A;670;0.334892407;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1100346;Alvorada D'Oeste;False;N/A;182;primaria;NUCLEO_5;Mista;1101708;Urupá;N/A;182;0.46;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1101708;Urupá;False;N/A;182;primaria;NUCLEO_5;Mista;1100346;Alvorada D'Oeste;N/A;182;1.050111983;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1101609;Theobroma;False;N/A;182;primaria;NUCLEO_6;Interna;1101757;Vale do Anari;N/A;182;1.949163727;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
1101757;Vale do Anari;False;N/A;182;primaria;NUCLEO_6;Interna;1101609;Theobroma;N/A;182;1.949163727;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
1200054;Assis Brasil;False;N/A;137;primaria;NUCLEO_7;Interna;1200104;Brasiléia;N/A;137;1.856971346;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
1200104;Brasiléia;True;N/A;137;primaria;NUCLEO_7;Interna;1200054;Assis Brasil;N/A;137;1.856971346;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
1200203;Cruzeiro do Sul;True;N/A;492;primaria;NUCLEO_8;Interna;1200427;Rodrigues Alves;N/A;492;0.702735903;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
1200427;Rodrigues Alves;False;N/A;492;primaria;NUCLEO_8;Interna;1200203;Cruzeiro do Sul;N/A;492;0.705471806;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
1200252;Epitaciolândia;False;N/A;137;primaria;NUCLEO_9;Mista;1200708;Xapuri;N/A;137;1.053863515;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1200708;Xapuri;False;N/A;137;primaria;NUCLEO_9;Mista;1200252;Epitaciolândia;N/A;137;1.086931757;Expansão de Influência: Núcleo coeso, mas a influência transborda para outras UTPs.
1200302;Feijó;False;N/A;731;primaria;NUCLEO_10;Interna;1200609;Tarauacá;N/A;731;1.314917715;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
