id_cadeia;nucleo;qtd_municipios;qtd_sedes;tem_sede;utp_dominante;coesao_utp_perc;utps_envolvidas;diagnostico_geral
NUCLEO_0;Colorado do Oeste, Vilhena;7;2;Sim;759;57.1;463, 759;Cadeia Mista (Dominante: UTP 759)
NUCLEO_1;Guajará-Mirim, Nova Mamoré;2;1;Sim;143;100.0;143;Cadeia Coesa (100% interna)
NUCLEO_10;Feijó, Tarauacá;2;1;Sim;731;100.0;731;Cadeia Coesa (100% interna)
NUCLEO_100;São Francisco do Piauí, São José do Peixe;2;0;Não;617;100.0;617;Cadeia Coesa (100% interna)
NUCLEO_101;São Miguel do Fidalgo, Socorro do Piauí;2;0;Não;617;100.0;617;Cadeia Coesa (100% interna)
NUCLEO_102;Acaraú, Itarema;2;1;Sim;544;100.0;544;Cadeia Coesa (100% interna)
NUCLEO_103;Alcântaras, Moraújo;2;0;Não;325;100.0;325;Cadeia Coesa (100% interna)
NUCLEO_104;Amontada, Itapipoca;4;0;Não;544;75.0;544, 685;Cadeia Mista (Dominante: UTP 544)
NUCLEO_105;Apuiarés, Pentecoste;2;0;Não;685;100.0;685;Cadeia Coesa (100% interna)
NUCLEO_106;Araripe, Assaré;3;0;Não;188;66.7;188, 255;Cadeia Crítica (Núcleo Cross-UTP: 255, 188)
NUCLEO_107;Aratuba, Itapiúna;2;0;Não;NOVA25;100.0;NOVA25;Cadeia Coesa (100% interna)
NUCLEO_108;Barbalha, Juazeiro do Norte;8;1;Sim;187;100.0;187;Cadeia Coesa (100% interna)
NUCLEO_109;Barro, Mauriti;2;0;Não;675;100.0;675;Cadeia Coesa (100% interna)
NUCLEO_11;Rio Branco, Senador Guiomard;7;1;Sim;282;100.0;282;Cadeia Coesa (100% interna)
NUCLEO_110;Brejo Santo, Porteiras;4;0;Não;675;100.0;675;Cadeia Coesa (100% interna)
NUCLEO_111;Caucaia, Fortaleza;16;1;Sim;111;93.8;111, 166;Cadeia Mista (Dominante: UTP 111)
NUCLEO_112;Cruz, Jijoca de Jericoacoara;4;1;Sim;557;100.0;557;Cadeia Coesa (100% interna)
NUCLEO_113;Iguatu, Quixelô;12;1;Sim;188;75.0;188, 550;Cadeia Mista (Dominante: UTP 188)
NUCLEO_114;Itapajé, Umirim;4;0;Não;685;100.0;685;Cadeia Coesa (100% interna)
NUCLEO_115;Limoeiro do Norte, Russas;7;2;Sim;674;57.1;319, 388, 674;Cadeia Crítica (Núcleo Cross-UTP: 319, 674)
NUCLEO_116;Meruoca, Sobral;14;1;Sim;325;100.0;325;Cadeia Coesa (100% interna)
NUCLEO_117;Nova Russas, Tamboril;9;3;Sim;728;44.4;487, 693, 728;Cadeia Mista (Dominante: UTP 728)
NUCLEO_118;Novo Oriente, Quiterianópolis;2;0;Não;487;100.0;487;Cadeia Coesa (100% interna)
NUCLEO_119;Parambu, Tauá;6;2;Sim;733;83.3;410, 733;Cadeia Mista (Dominante: UTP 733)
NUCLEO_12;Alvarães, Tefé;2;1;Sim;734;100.0;734;Cadeia Coesa (100% interna)
NUCLEO_120;Quixadá, Quixeramobim;9;1;Sim;719;66.7;188, 410, 719;Cadeia Mista (Dominante: UTP 719)
NUCLEO_121;Angicos, Jardim de Angicos;9;1;Sim;554;44.4;220, 554, NOVA24;Cadeia Mista (Dominante: UTP 554)
NUCLEO_122;Carnaubais, Pendências;3;0;Não;220;100.0;220;Cadeia Coesa (100% interna)
NUCLEO_123;Cruzeta, São José do Seridó;5;0;Não;NOVA24;60.0;99, NOVA24;Cadeia Crítica (Núcleo Cross-UTP: 99, NOVA24)
NUCLEO_124;Currais Novos, São Vicente;6;1;Sim;99;100.0;99;Cadeia Coesa (100% interna)
NUCLEO_125;Parnamirim, Natal;11;1;Sim;222;100.0;222;Cadeia Coesa (100% interna)
NUCLEO_126;Encanto, Pau dos Ferros;19;1;Sim;631;89.5;220, 319, 631;Cadeia Mista (Dominante: UTP 631)
NUCLEO_127;Grossos, Mossoró;22;1;Sim;220;100.0;220;Cadeia Coesa (100% interna)
NUCLEO_128;Guamaré, Macau;3;1;Sim;61;100.0;61;Cadeia Coesa (100% interna)
NUCLEO_129;Ipueira, São João do Sabugi;2;0;Não;NOVA24;100.0;NOVA24;Cadeia Coesa (100% interna)
NUCLEO_13;Benjamin Constant, Tabatinga;3;1;Sim;155;100.0;155;Cadeia Coesa (100% interna)
NUCLEO_130;Jardim do Seridó, Parelhas;7;1;Sim;NOVA24;71.4;65, NOVA24;Cadeia Crítica (Núcleo Cross-UTP: NOVA24, 65)
NUCLEO_131;Lagoa de Velhos, Sítio Novo;2;0;Não;99;100.0;99;Cadeia Coesa (100% interna)
NUCLEO_132;Nísia Floresta, São José de Mipibu;2;0;Não;222;100.0;222;Cadeia Coesa (100% interna)
NUCLEO_133;São Miguel, Venha-Ver;7;0;Não;631;71.4;550, 631;Cadeia Mista (Dominante: UTP 631)
NUCLEO_134;Baraúna, Picuí;4;0;Não;NOVA10;100.0;NOVA10;Cadeia Coesa (100% interna)
NUCLEO_135;Cabedelo, João Pessoa;8;1;Sim;185;100.0;185;Cadeia Coesa (100% interna)
NUCLEO_136;Campina Grande, Massaranduba;13;1;Sim;65;100.0;65;Cadeia Coesa (100% interna)
NUCLEO_137;Conceição, Santa Inês;4;1;Sim;477;75.0;244, 477;Cadeia Mista (Dominante: UTP 477)
NUCLEO_138;Cubati, Pedra Lavrada;2;0;Não;65;100.0;65;Cadeia Coesa (100% interna)
NUCLEO_139;Marizópolis, Sousa;8;1;Sim;704;100.0;704;Cadeia Coesa (100% interna)
NUCLEO_14;Iranduba, Manaus;10;1;Sim;206;100.0;206;Cadeia Coesa (100% interna)
NUCLEO_140;Monteiro, São João do Cariri;10;1;Sim;595;100.0;595;Cadeia Coesa (100% interna)
NUCLEO_141;Patos, São José do Bonfim;18;1;Sim;244;100.0;244;Cadeia Coesa (100% interna)
NUCLEO_142;Piancó, Santana dos Garrotes;11;1;Sim;543;100.0;543;Cadeia Coesa (100% interna)
NUCLEO_143;Pombal, São Domingos;8;0;Não;NOVA24;50.0;220, 631, NOVA24;Cadeia Mista (Dominante: UTP NOVA24)
NUCLEO_144;Princesa Isabel, São José de Princesa;3;0;Não;321;100.0;321;Cadeia Coesa (100% interna)
NUCLEO_145;Afogados da Ingazeira, Iguaracy;10;0;Não;321;60.0;321, 595;Cadeia Crítica (Núcleo Cross-UTP: 321, 595)
NUCLEO_146;Altinho, Cachoeirinha;4;0;Não;78;75.0;113, 78;Cadeia Crítica (Núcleo Cross-UTP: 78, 113)
NUCLEO_147;Araripina, Trindade;9;1;Sim;27;88.9;27, 675;Cadeia Mista (Dominante: UTP 27)
NUCLEO_148;Arcoverde, Sertânia;3;1;Sim;59;100.0;59;Cadeia Coesa (100% interna)
NUCLEO_149;Barreiros, Tamandaré;5;0;Não;209;100.0;209;Cadeia Coesa (100% interna)
NUCLEO_15;Itapiranga, Silves;3;1;Sim;540;100.0;540;Cadeia Coesa (100% interna)
NUCLEO_150;Belo Jardim, Sanharó;3;0;Não;78;100.0;78;Cadeia Coesa (100% interna)
NUCLEO_151;Bom Conselho, Terezinha;5;0;Não;113;80.0;113, 531;Cadeia Mista (Dominante: UTP 113)
NUCLEO_152;Brejo da Madre de Deus, Santa Cruz do Capibaribe;7;0;Não;78;71.4;595, 65, 78;Cadeia Mista (Dominante: UTP 78)
NUCLEO_153;Canhotinho, Quipapá;3;0;Não;113;33.3;113, 78, NOVA2;Cadeia Crítica (Núcleo Cross-UTP: 113, NOVA2)
NUCLEO_154;Caruaru, Riacho das Almas;13;1;Sim;78;92.3;59, 78;Cadeia Mista (Dominante: UTP 78)
NUCLEO_155;Cupira, Lagoa dos Gatos;2;0;Não;78;100.0;78;Cadeia Coesa (100% interna)
NUCLEO_156;Custódia, Flores;2;0;Não;321;100.0;321;Cadeia Coesa (100% interna)
NUCLEO_157;Escada, Primavera;3;0;Não;78;100.0;78;Cadeia Coesa (100% interna)
NUCLEO_158;Garanhuns, São João;14;1;Sim;113;100.0;113;Cadeia Coesa (100% interna)
NUCLEO_159;Itaíba, Manari;4;1;Sim;531;100.0;531;Cadeia Coesa (100% interna)
NUCLEO_16;Caracaraí, Iracema;2;1;Sim;451;100.0;451;Cadeia Coesa (100% interna)
NUCLEO_160;Jaboatão dos Guararapes, Recife;11;1;Sim;278;100.0;278;Cadeia Coesa (100% interna)
